Model,CPU,RAM,Storage,GPU,Price,Release Date
MacBook Pro 14" M3,Apple M3,16GB,512GB SSD,10-core GPU,$1599,2023-11
MacBook Pro 16" M3 Max,Apple M3 Max,36GB,1TB SSD,40-core GPU,$3999,2023-11
MacBook Air M2,Apple M2,8GB,256GB SSD,8-core GPU,$1099,2022-07
Mac Mini M2,Apple M2,8GB,256GB SSD,10-core GPU,$599,2023-01
Dell XPS 15,Intel i7-13700H,16GB,512GB SSD,RTX 4050,$1799,2023-05
ThinkPad X1 Carbon,Intel i7-1365U,16GB,512GB SSD,Iris Xe,$1949,2023-03
Surface Laptop 5,Intel i7-1265U,16GB,512GB SSD,Iris Xe,$1699,2022-10
HP Spectre x360,Intel i7-1355U,16GB,1TB SSD,Iris Xe,$1599,2023-02
ASUS ROG Zephyrus,AMD Ryzen 9 7940HS,32GB,1TB SSD,RTX 4070,$2299,2023-04
Lenovo Legion Pro,Intel i9-13900HX,32GB,1TB SSD,RTX 4080,$2499,2023-06
Framework Laptop 13,Intel i7-1360P,16GB,512GB SSD,Iris Xe,$1399,2023-03
System76 Lemur Pro,Intel i7-1360P,32GB,2TB SSD,Iris Xe,$1849,2023-04
